UUID;Name;Points
aa3eaf74-6d9c-4859-b733-5a18a3b2f71b;afonso_rf;792
2d3d2dce-d353-4961-ad39-46723efe2100;mariicmartins;1375
ca95ef2a-5129-40f4-acbc-2ced25940032;tdlupus;421
65662aff-44d6-4f06-b9d9-07445c6e5943;kozat0;4063
98b960e7-6b7b-45b7-b7af-60bca40e04b9;gu1z17;0
b2f9d026-0727-4125-b84b-c60af3148a15;dcha0tic;2080
6e1bc660-02eb-49ac-aee6-592328504897;jesak_;894
95ef4c1e-b21a-468e-b419-ad08333c4948;marciormr;67
e7c79c1a-7693-4e63-a844-c755e0bc3bd3;gabriel_aka;849
c4f241f8-2140-4f72-b1a3-904fcc51e38c;otal_xandao;203
e407fad9-4f76-4c12-98ea-d70d1c8d0d97;juligaioso;418
cf317911-6a16-403b-9ea0-ad9b90d44a1a;danszk;38
d92138ad-7b6f-4b5b-8e0d-5041fe5b943a;tak3_iteasy;0
00a6d4c8-38e5-4e92-981e-4e4ac5084546;cecisssssss;0
2fa14ef0-72ee-43b8-a884-8cedd9dae64e;campeiro;112
03d75a45-0b36-4fd7-a84e-7b36912f1998;spacca_de_cabelo;5
a59e2ccb-72ef-45d3-844c-65334964261f;colonel_volgin_;554
1fe103bf-ba44-42a2-9b75-fc7d9f9bd2f8;uakabaiaxi;158
c7a4278b-de77-421a-ac17-43c8e8eef6ef;tanquetav;267
a2abd650-93a1-4c0e-a57e-485b7fadfa43;franknfjr;206
b76c3795-90bf-4470-a6ff-8005d2810fc9;zsahist;869
f072ee1b-dfec-4073-940b-0264dbe408de;pequenna;1
c51d1137-46fe-483a-b4b8-7f7fa6703aaa;bullciti;0
6a7d3662-8ab6-43e2-a194-e7f1a58b996d;comportado;0
a36bb816-5ac7-414e-9252-98c4720839dc;pistolinha_ghost;0
43e2aca6-8825-46ca-85ac-ac76a461638e;phblbrasil2;0
54edd84d-73ad-4821-8d53-7ed04f00b2e4;kaycristina;1153
5b59236f-a9dd-4877-a738-d56a77a301e8;savarizluan;4
aa47f1e7-1631-4b03-abd9-9309de45f81a;andrehm_;554
a1478518-6bf1-41e7-895b-355a06554b96;talismacedo;1116
1370597d-57dc-46ae-9d2f-ac6e4a285c81;skyavet;620
053f094b-a813-4417-9bb6-7a3d1737b089;vioninho;0
7e158eee-407a-49e8-a1b0-87662b735e57;huezenbergg;0
28980931-4ba6-4206-99e9-5ebbe0f28295;jaimilson_;0
99431a0f-1f38-47ab-9136-445c7afae00d;nicolaslima167;1364
ed18130c-a356-402e-be63-15948e0e4108;rafaelbatistella;53
20224958-4a8b-461c-a1b9-02080a55af96;clerijr;100
5ae0871a-e31d-4003-8c1a-e181dab54036;ig_barreto;159
331ebc0b-f4a6-4364-85a3-33f91743e2c3;kolligan;350
df695821-6cd6-457e-91b3-33f988c736bc;luisx3krz;152
3458efb0-0a7e-490f-8856-c29f9050d938;the_avila;391
34b1ea54-b7c8-489f-85f8-aab2a844c2e3;vinicius_cd;202
596f1ca1-2593-46f8-93d3-272447fcafae;nicholascarballo;8
af4f97a5-90a8-4ebf-8420-d7766ad093ea;ldbressan;1038
c9ed7cd1-df65-43b9-a18d-f658936b1799;danlscrf;163
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;levy957;7
be6ccf09-820d-43c9-9705-9fc381b682f7;viniciuss_vieira;0
4c77c153-19b9-42e2-a03c-04f43dcc6105;vinnyportugal07;1211
e37e9fd7-73b3-44a5-9eb9-022fb6d39225;beepthedev;2
6dece871-c22b-40a9-a919-19a88acf3401;igor_tiltado;457
faf46096-5f3c-4419-befb-7365c881d2d6;duckosapateiro;0
4fade907-6e0f-4581-a674-aad6622b1b10;will_sca;620
f608acbe-ccef-4161-b46a-5a6f6a46a3f3;trindadexd;907
5877cf53-bde0-4bfa-b61b-0a09e5dd5147;pivetadev;588
df08af5d-fb82-4b1f-a2e3-621d845fbb6e;surtocerto;50
317476ac-bfe4-427e-b611-06cdc5e80894;palantirnexus;0
f7a75235-e8f3-4763-9429-185ec3598b06;skimifil;614
82a5c529-3e9b-40c0-a662-f1a3c1939642;jheni_souzaaa;0
697396c0-502a-4ef6-9af7-dd08113a0409;nynobenshaa;309
21943df7-272e-46ef-aeb7-933a6637bfd5;gabra_alves;1013
2a9d4ba3-4c58-47f9-8dc4-6f9cb50be1b1;dabathehutt;1307
821134d7-f44d-4769-8c2c-b50e82c16099;andrelteixeira;335
aa643d36-5a4c-47c0-95dc-3ba49d9b6eab;nicomarttinns;101
219c530f-45c4-4438-92de-ccadf9981f62;tonindosinuca;0
ef5b5c37-a4fc-4222-bbe2-50c4e40fd997;marcos_314;154
43fe0176-a4a7-4263-9f45-3fb68e054430;j0nas079;216
6582b314-afdb-47ef-88ff-a8d5c28fd4a7;larryfisherman25;695
c8cc7485-7a11-44dd-8145-6665e7c2f103;fer_batman;171
74c06e4d-0d4f-48f1-96af-a03c7b18ce47;thamibetin;1940
c59f5c8f-1d85-407a-8456-646d0f6be4f6;sfinotti;3
e91dcc7c-20ec-4d44-8290-a67a6cc557c1;comuna_13;16
71c0a8c1-f6d1-4090-a304-95f38c66d6b8;ramonfviana;358
450a3f75-9c8a-4eb2-b39c-f718ec24f40c;letanze;920
884e9674-31cf-43be-8e6f-0f9ee3696923;darthliliith;50
fbc705f9-bbee-4aa2-b74c-4ab8a4290af0;marcusgmr;202
c4ade77c-f395-4d22-93c3-7a8031df9c6f;ght12;204
15a2e60e-1eb6-4979-919d-f968a50d67d0;devrodrigolima;0
98953b1a-ae7e-4e50-b264-bdda6c3a4a6d;ericcamacho;1423
a4e4f0e5-6d0e-4461-b13f-023f8ec7ac5d;lylozz;0
8a106d07-1a24-47d2-9d4f-b8418d874f05;gu1_cq;173
7d265bd6-76c5-45f7-8b53-a35a774dd9a8;infoslack;6
566ff65c-1f2d-46f6-9fe6-6559866fa156;luparellii;0
e4c33903-1025-458b-99c6-f4896942082d;froste43;1
d51777b5-002d-40cf-abb3-1b4a5c6673ab;gustabo107;0
4f4685d8-48e5-4f6b-823c-5fd61d7bd709;snupres;464
b0847d5b-c1dd-41cc-8302-b451c8674c0e;gettodachoppaaa;2082
7df60476-b880-485a-9430-ededf50a9bbb;kaeric_;186
bd0ccd8d-87a0-4aa7-8f0d-31276c9b9b23;rajaadao;3
4d39bad4-acd2-434c-a965-88e6d917e80e;pry_rowe;353
e7407187-d6aa-4a70-90b3-ac9f99589651;anthonyvii27;2
0af0bdf0-d17a-41bd-b8f6-6b3cef165bd8;durituscabral;667
429d1211-6738-455f-bfdd-0eed6b68e5f7;gabrielcordd;260
8237120a-3720-4523-9825-db3bac44b2e5;aldxz;0
b158e1c0-6be9-40ce-9a92-9976bc14b678;cyb3rj0hn;116
b694739a-6362-436d-a3a0-08977b39afb2;sznha;0
871b821c-3bd6-4a0b-84e8-b005162ff348;nvt_professor;527
7af74d57-b6ac-42db-8093-f0fa8fb9a29f;joovitor177;417
058d457f-9ffd-4426-a0f0-7aa20065a0db;bozomalaco;0
30e5dd64-f51e-43e2-a3e2-6f6407658d2a;1__jhonas__1;641
8151fff4-0b51-4577-ae0b-4622d244d324;neelister;1214
2b83b8d3-3f3e-4006-82d0-02521f1192fc;gabsnkira;50
0ed6b09e-4329-4d2a-837b-2aad4796cd3a;x_deathking_x;55
0097ab76-4637-4ece-8ebc-ab6abd61d662;losmundissas;50
8265dee1-143c-4416-a189-d99261004b39;nookie286;100
031f1b88-5440-45af-8fa9-1423a0a15145;alexsbatista;0
5fb0adf1-bfaa-4230-90fc-5f75cb9e76ac;ov3rc4st;51
1a63ba6c-83bb-4866-a6ea-54cc4cf9bcb2;caiocalo;106
d332b0d2-12db-45dd-9d6b-addd75972c2e;vivicamil;0
f3da481c-cb28-42f9-96b6-759bb5e6e65f;coyotsp;7
eb54395b-ddd6-49f8-a58b-0f8c1789819c;larixmaciel;100
12d53642-5997-4345-9b10-410a2d387466;ovampirinho;310
563410ac-325b-482d-b9ce-283fa710a160;dragonflipe;0
3bfbc979-dcce-4331-beb2-31f5c38c9369;joaopetroniomartins;0
82a9340c-d2de-4b18-a558-612f80ac909e;hedriss10;75
a7f613ea-f216-4e62-b05a-dc19bcee73dd;j0tap;0
7d53fdbb-2a7b-4565-b56d-0421fa76fa28;laennder;0
68be609e-0268-4826-99a2-2f62711c2ec2;gusbug;2
2e4d5f68-f2b7-441f-9bfe-5b521165955f;mae_do_itsevolution;5
3bd342b6-e5ff-456b-b8e7-8aabbe9f0a32;unbiaseddestiny;2210
ef1a209b-87c3-44f5-9307-e4d034374efa;lukcnt;253
9aba2685-7c0a-4d1f-8e22-0c47ca0af580;itsevolution;4262
7a4ace0f-1451-484c-9dcb-52f663a935ea;umsaldanha;0
46119557-7ce9-488f-9225-47d539dd414e;kallklen;2272
6fff56d9-010f-4a49-b6f5-090af35d403a;clintonrocha;68
10ddac6b-0b74-4e1d-a624-898ef75ed653;davisores;55
c6ee1f71-a167-4430-9913-351219bff14d;guxmedeiros;0
803debdb-8136-4cb5-af29-dcd8db36bf2c;lucasnv_;1173
c68f7dfe-655a-4561-bc72-0f1fb65dde06;greicealves;0
cfd157cf-b220-46ef-b66d-456ba7db29a3;janderson1719;0
3744c69d-25c1-46a6-b178-ee5925f78014;marquesmk;2
83ee3482-86e3-4cc5-a4d5-ed5ff0e8188d;spicepeppers;50
05de679b-9989-4416-9aa4-20c149999c8d;perdidosnoplay;602
28abf0f8-0209-4053-bb5f-2c9211a858e7;medicinais;102
c577784a-ab1c-41b8-bc22-6809b80ccc7f;lucas_tcl;101
919989b1-bd1e-4ec9-a03f-346a9098c348;neto1396;104
53fcec59-e051-42ec-bd48-c71e0e4279bd;cinemajoaoguilherme;50
06d83d70-52bf-48a6-b35d-79b5357d3dcb;johnny_yamanaka;251
ec7d0650-7948-4628-a0c3-a0b27b7091ad;mecosayshi;12
4e7eafad-5196-4d4f-9dee-23eb5c367334;dxcassiano;401
ce61fa42-2854-42d4-b20d-e9348e9d76e1;chicovivo;1324
551a16d9-98c1-4247-9148-9beb45fae2da;digood_;51
7dbd163a-1f88-4d39-b94c-32856fd48021;ljukemura;664
dfa4b373-d4d7-41ad-ab95-182bb052f008;pizzagui;934
def273e3-6432-47bb-b67b-778e79fb0769;sassgabriel;2
a891a2e7-99ea-4ab5-bd80-35644f6e7783;cr0dzera;50
24782f0b-4683-4f35-976a-ea21d6714ba6;medalutadorespacialx;2014
d7b97274-6212-4b52-b9e3-0745f63ac670;rofram;150
d94a6d45-c4ee-4bff-b4f8-c5c92a3c5533;matheusm1805;0
12309bac-c268-4a7d-bbf7-bd72fd26c20a;guilhermetolentinodutra;101
9c909d1e-fa2a-47b0-8535-d9e44375f9f8;marcos_oap;1213
da3cdc78-02e2-400c-9f17-2cbe3ab73d8c;victorfarinha;312
58762d57-2972-4551-aac9-7c13591bcae0;sleepyguns;50
d7e7349c-f8c9-4ffe-9064-4b4f46b937a5;sabaab_;55
cd947145-9446-445a-b3cc-33b6d0e84f46;elvinmatheus;51
a3535a88-01fa-4788-963b-a39fc267ce4d;marianamoledo;52
ed84a208-e90a-4372-bc4c-be0e0bb4e8a4;hdkami;954
8cf8e162-bcf1-4a68-9ea5-44ec75484734;reis131;1247
8ad464d3-551c-4af1-beec-c5e19061e127;danilocurcio;210
d0b29e73-8bcb-4999-8f7f-53a74a1fddf1;raffaloffredo;59
bea8db84-89c0-4620-8d8a-cd8bd8969485;jhouzera1;0
5f4d8504-0533-45f4-a4ac-0dc614a2c318;carlos741963;9
70459139-705a-47b5-a8d3-97d1db1d6565;lucianobritis;340
a32f0760-1d8a-4693-bcbc-5ea4dc4bf997;eodreamy;0
6703199b-66fd-46ce-991c-990ee721755b;edu_dev1;0
467b4896-20e3-454d-a88b-f65d6fed0bc0;jutsgo;101
d94f1c09-e02a-4f1d-9a0f-ac35a459f2aa;vtfigueiredo;59a
200e262d-74f4-439f-88fb-0cccd122a3a5;vidadeantonio;806
64343fda-f940-4733-9cda-49d3e14f0362;joaovbslima;497
b7a4bd03-8107-4852-b343-f464e380ef4f;carlosbrefm;109
6e81c9f9-e511-45c4-bee7-c22b7c0e9ba5;paulovitorz;52
b5293a45-7a59-46e0-97fd-af3ecd159537;kevin_zeroo;51
f9c499cf-c6c7-48f4-9dbe-1a1e6c20205c;guilhermenagemds;51
c03280e1-0586-460d-a1fa-245798b5e30b;tiago_eumesmo01;100
9f33c095-0c1a-4351-bac4-8fe72dc16716;mathcartney;52
d7a6e3cc-b344-4234-9cd3-1ae3d9772eb2;daxzer4;416
5ae33296-4d38-4786-b02d-777e3f894cb7;mudkeepz;8
7a6fcb1b-b6dc-4541-9b11-79931181215c;genkio;7
01f3a765-a092-4999-be4b-98fc5404653b;gardienbr;1
161bf8aa-33f9-42a3-b48f-97199c8370d1;zackwild;1146
6dd76604-2c74-4e26-874a-94bf0df7f97a;tiagojaquesbr;259
2ee53164-1ee9-4e17-9277-b3f158e48e7f;andre_timotheo_br_77;117
6abc3e4e-30db-4bce-ba94-9b9c811538c9;syglol;152
044e95f2-8756-42bd-a0a3-d50708beb8da;leokirian;392
dc48fa97-9786-438d-91f9-77e6262dea42;ikarohenrique1;66
444e5a23-d896-49b1-929d-4c5cb4b2c232;anaafcs;50
131eedc9-fc22-4f49-840d-701b18f5c09a;el_badmane;50
1f42436f-9108-453f-ba5f-74f00d20240f;madsonsd;159
04c0099a-17fc-4535-88c0-36251c16b582;fleups;57
86239e60-14f7-48b0-ba37-062fe97b2034;lucascami;149
384448b7-3b0c-462c-b2f9-d3a3b2ace4cc;hamarchi;113
2625a00f-9aaf-4605-9baa-366c5e18a095;andsuller;182
2a97ac6e-b50c-4ffa-86a4-80c16f7ee972;wallisonj72;105
b1ae9536-c6e4-4b88-a852-1561341c092c;jeanfdias;104
012bc897-e45c-4e6a-a742-7e00fa2e59e5;tujmon;51
efb1074c-2789-461c-9b29-5dad22727fbe;renatomedeirossantos;50
d9464c76-9d2d-42af-86a1-955880d98f5a;danielmveras;242
3e9a2bf8-e09f-4417-9ff2-5a65fd1de2ad;torrrespy;416
3671c38c-109f-4dfb-ae09-aa7667b1c597;fernandostn;56
4b663b17-fb72-4880-b83c-f08f1ec82fc5;brunopxd007;332
bb1ab728-1590-4340-b2a1-57f28fb9ab66;ifjorz;60
10d18590-4365-465c-8174-311c38d3a548;telbatesbr;1026
d27f73a2-e9af-4a5a-bd5b-89c6601046ef;reca_melo;51
60e4a326-fa36-434e-a0fc-7c81ff780f8a;nov4kzin;69
7be4584b-288b-4027-a2fe-29d206313917;censeu;1301
f8b53480-3dd5-4961-84a6-4e1967f5aa81;felipefdcastro;52
35b4a519-be61-433e-a848-50454c185277;dforoni;101
9c2d9e8b-302d-4de8-bc42-dca0efeb666d;wisp_p;138
53e42968-4b4f-4616-bfc6-8cdbb59a9a4a;christophermoura;0
45ee064a-cf3e-4bdf-b222-6d0ac88199d6;allecara;51
949e8027-ae59-4662-afce-4632bbf2d2c4;pablocorreia0985;110
eeae9e4d-d61d-4aa0-9876-55a8787963ac;khalweeda;155
bb1a4fcc-630e-4c66-b071-e379c8cb345f;ibritocorp;242
e53b103a-1b35-40c1-80b9-f92026187477;nottkirito;0
70568f71-d1b8-45c2-866f-abe5ed8911ab;reipretao;58
0ecd4659-2e4a-4598-8d3c-23148262f4b0;predomiotto;54
284e3274-74a7-45f4-8d1e-541517e62ece;viniciusrvieira;102
8b39c55c-9b84-4fb7-b7c4-7324cf780002;jananf2511;127
1eca2920-f444-4785-bbae-d4a0017ba873;fhamada;360
69e9a7c3-6f64-430f-96ee-eb1548eb6aad;mrsilva55;125
31e7facf-ee9e-46b4-9667-abc8385a1702;fabricioooo_;50
e64aa9d4-7543-4420-a5e3-a769a9454497;rturatti;50
b0bb0bd1-1e10-485d-80e1-54370b7ef21a;gusta_oi;143
326ce9d4-ce4a-48e6-90df-d1b7c6e58153;jeff_bjj;50
cd0a5a19-b4d1-4508-b535-5ab4136da380;mhcs300893;50
e5d834db-e02e-498e-aa7c-7a9dc8d35d2c;gbrito0;50
a6cc4ba8-3d4b-4f6e-8588-418c11ed095e;hugonyland;2114
2a300d53-ecd1-4e94-8e8d-515f485d0e6c;marcosfl89;50
381fadb5-b53f-4718-bdf1-943866077b2d;alan_ocs;258
b3d47127-6467-40ff-8fb0-a4985673b944;morenomon;101
17a8b42c-6885-42d1-9bf6-015622042042;vertebraum;198
10f96270-be3d-4487-85d8-843c21f0fe77;fefailla;50
5a226aa1-468c-4f67-96c8-e60653ba2fbb;douglasdsilva;50
2a1c8a11-67c7-4f6f-b005-a3756d4523d2;eugalante;66
5354f2f2-6d04-46e5-889f-956c7aa09dc8;evertondemo;101
4a1d4be9-a067-47de-a3c3-c13884db1851;lamorasjr;54
8694f99e-5b55-467e-82d5-0e0079cd664d;byronpsycho;545
9803ea9d-efb7-4287-a036-bae1bfbb8fa0;conradomp;100
7fe576d4-837d-4825-b379-906259122463;lu_aaalex;102
4b014dce-83d7-434c-b549-475ebf8415c5;jessica20br;105
bf4ddaa8-1c08-4212-9c64-069af66a3d54;gleissonbispo;1
65e54e94-4255-489a-948e-10a4da9c3029;biroovisk;258
de5eed84-c96e-4fb8-bf25-33c1b7230ccd;luannrodrigo;50
78a48b6c-979e-4ea2-85c8-78db87685bac;pinduuca;50
9d91d2fb-8f22-4556-b1ff-0e199363bf0c;irielai;125
b1d6f305-ddff-4a75-ae4b-7bdfcf082eab;beazinat;50
252a0923-3f79-45bb-b664-3040235c6c58;marceloaires7;105
3884c92f-a635-4b67-9e5a-97730829cdca;diegod_ntc;114
b424b1e5-b549-4e9c-af55-118925afc5da;godsensehl;823
21c630c4-3099-4a7b-8f8a-4579c1abdca7;rmanalytics;510
8dcf976c-c817-485f-97ee-c0bbd9fd657d;monteiroal;50
bac46d3a-5186-42f7-8668-9ed8931d3148;fakedrumss;201
7e17493b-89d4-4c55-8bed-4effa5160a3a;dieggo_n;1
9477a7ef-b635-41ee-a437-084a90f1064e;izabelape;307
db178922-7271-45f5-b2c5-15d7ce9c4197;ic3lotus;108
5b175133-d13b-45d4-8ca4-7c95230f13ca;allinecrg;111
13e42683-f0b1-4154-81d5-82025f82bd43;lfpbarros;103
d0c276c5-0953-499d-a130-85f5d1279612;lvcarv;110
71c4529c-1c59-4e5a-a3ec-65c726306eaa;coxxtah;50
1e67434d-0133-49e4-9919-c1873542035a;sidshow_;151
89af1f57-f17d-4021-b230-46496908c1aa;khayn_gk;108
a4b242e4-c2b9-4dc9-8a22-5bd950c8be84;supercacris;51
8076789f-07af-4e96-a055-13e90c747c5c;hfskilmster;1
fecbdf63-3bf4-44e5-8b1a-0acc9d963603;cianaglima;111
