cod;nome;per√≠odo;homicidio-de-jovens-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-homens-nao-negros;homicidios-homens-negros;homicidios-homens;homicidios-mulheres-nao-negras;homicidios-mulheres-negras;homicidios-mulheres;homicidios-nao-negros;homicidios-negros;homicidios-por-armas-de-fogo;homicidios
52;GO;1998;217.0;390.0;294;24;325.0;36.0;71.0;180.0;616.0;12.0;12.0;76.0;84.0;193.0;434;704.0
53;DF;1998;316.0;439.0;354;27;381.0;35.0;73.0;415.0;579.0;13.0;37.0;54.0;86.0;452.0;474;633.0
50;MS;1998;210.0;376.0;268;38;306.0;41.0;10.0;8.0;595.0;3.0;2.0;73.0;13.0;10.0;418;670.0
43;RS;1998;546.0;958.0;641;75;716.0;100.0;1019.0;231.0;1343.0;137.0;30.0;181.0;1156.0;261.0;1058;1524.0
42;SC;1998;95.0;171.0;148;28;176.0;27.0;179.0;34.0;345.0;44.0;2.0;69.0;223.0;36.0;198;414.0
41;PR;1998;513.0;893.0;693;69;762.0;68.0;827.0;232.0;1447.0;117.0;22.0;178.0;944.0;254.0;961;1625.0
35;SP;1998;3833.0;5920.0;7502;518;8020.0;382.0;6291.0;5434.0;12952.0;573.0;351.0;1034.0;6864.0;5785.0;6302;13986.0
33;RJ;1998;3328.0;5570.0;3783;223;4008.0;398.0;2246.0;3631.0;7000.0;202.0;255.0;560.0;2452.0;3891.0;5978;7573.0
32;ES;1998;669.0;1066.0;816;64;880.0;93.0;156.0;328.0;1508.0;22.0;32.0;163.0;178.0;360.0;1161;1675.0
31;MG;1998;480.0;788.0;648;81;729.0;77.0;363.0;700.0;1310.0;57.0;92.0;201.0;420.0;792.0;865;1511.0
28;SE;1998;8310.0;99.0;84;3;87.0;6.0;12.0;79.0;162.0;2.0;5.0;13.0;14.0;84.0;105;175.0
29;BA;1998;462.0;760.0;616;39;656.0;38.0;44.0;248.0;1169.0;3.0;24.0;101.0;47.0;273.0;799;1271.0
27;AL;1998;192.0;386.0;234;26;260.0;28.0;47.0;216.0;537.0;8.0;18.0;45.0;55.0;234.0;414;582.0
26;PE;1998;2221.0;3453.0;2437;122;2560.0;196.0;485.0;1106.0;4141.0;60.0;65.0;277.0;545.0;1171.0;3651;4423.0
25;PB;1998;165.0;267.0;215;24;239.0;24.0;25.0;82.0;414.0;6.0;5.0;41.0;31.0;87.0;291;455.0
24;RN;1998;83.0;131.0;115;9;124.0;9.0;37.0;119.0;202.0;8.0;7.0;20.0;45.0;126.0;140;222.0
23;CE;1998;251.0;457.0;447;27;474.0;26.0;97.0;305.0;889.0;11.0;11.0;56.0;108.0;316.0;483;946.0
22;PI;1998;23.0;35.0;66;8;74.0;4.0;15.0;78.0;119.0;5.0;12.0;20.0;20.0;90.0;40;140.0
21;MA;1998;68.0;121.0;118;13;131.0;9.0;29.0;177.0;247.0;5.0;18.0;30.0;34.0;196.0;130;278.0
17;TO;1998;30.0;65.0;41;10;51.0;13.0;33.0;53.0;110.0;4.0;12.0;19.0;37.0;65.0;78;129.0
16;AP;1998;43.0;64.0;92;5;97.0;7.0;8.0;134.0;148.0;3.0;9.0;12.0;11.0;143.0;71;160.0
14;RR;1998;31.0;46.0;59;5;64.0;7.0;20.0;91.0;122.0;3.0;9.0;12.0;23.0;100.0;53;134.0
13;AM;1998;139.0;206.0;309;33;342.0;22.0;26.0;404.0;481.0;2.0;45.0;52.0;28.0;449.0;228;534.0
12;AC;1998;34.0;53.0;55;4;59.0;5.0;10.0;21.0;98.0;1.0;1.0;12.0;11.0;22.0;58;110.0
11;RO;1998;141.0;290.0;189;20;209.0;21.0;72.0;105.0;449.0;11.0;7.0;45.0;83.0;112.0;311;494.0
52;GO;1999;290.0;472.0;366;50;416.0;60.0;148.0;245.0;733.0;40.0;28.0;117.0;188.0;274.0;534;853.0
51;MT;1999;218.0;441.0;304;33;337.0;35.0;200.0;387.0;751.0;23.0;34.0;71.0;223.0;421.0;476;822.0
50;MS;1999;169.0;315.0;240;24;264.0;36.0;137.0;124.0;508.0;19.0;13.0;63.0;156.0;137.0;351;571.0
43;RS;1999;596.0;995.0;711;68;779.0;90.0;1039.0;249.0;1370.0;134.0;21.0;163.0;1173.0;270.0;1085;1533.0
42;SC;1999;77.0;160.0;128;19;147.0;19.0;217.0;44.0;335.0;42.0;1.0;50.0;259.0;45.0;179;385.0
41;PR;1999;580.0;945.0;749;64;813.0;81.0;1025.0;262.0;1522.0;126.0;30.0;182.0;1151.0;292.0;1027;1706.0
35;SP;1999;4905.0;7567.0;8490;529;9019.0;450.0;7723.0;6182.0;14640.0;644.0;412.0;1123.0;8367.0;6594.0;8017;15763.0
33;RJ;1999;3365.0;5607.0;3650;225;3876.0;380.0;2212.0;3726.0;6695.0;232.0;265.0;543.0;2446.0;3994.0;6002;7261.0
32;ES;1999;664.0;1041.0;752;63;815.0;80.0;208.0;554.0;1396.0;22.0;45.0;128.0;230.0;599.0;1121;1524.0
31;MG;1999;413.0;650.0;693;98;792.0;74.0;368.0;732.0;1373.0;69.0;110.0;222.0;437.0;842.0;725;1596.0
28;SE;1999;9347.0;194.0;149;18;168.0;21.0;32.0;101.0;288.0;7.0;12.0;40.0;39.0;114.0;216;329.0
29;BA;1999;313.0;520.0;442;33;475.0;31.0;88.0;305.0;823.0;9.0;41.0;88.0;97.0;346.0;551;913.0
27;AL;1999;202.0;353.0;252;21;273.0;29.0;47.0;338.0;499.0;7.0;30.0;55.0;54.0;368.0;382;554.0
26;PE;1999;2166.0;3401.0;2282;130;2414.0;206.0;528.0;2186.0;3949.0;55.0;143.0;265.0;583.0;2329.0;3610;4217.0
25;PB;1999;138.0;237.0;189;13;202.0;19.0;34.0;111.0;369.0;13.0;7.0;34.0;47.0;118.0;256;403.0
24;RN;1999;58.0;123.0;78;6;84.0;15.0;50.0;122.0;200.0;7.0;13.0;24.0;57.0;135.0;138;224.0
23;CE;1999;262.0;497.0;478;34;512.0;31.0;145.0;518.0;1012.0;19.0;34.0;91.0;164.0;552.0;528;1104.0
22;PI;1999;33.0;55.0;71;4;75.0;1.0;18.0;85.0;126.0;0.0;6.0;7.0;18.0;91.0;56;133.0
21;MA;1999;44.0;95.0;105;7;113.0;7.0;37.0;135.0;233.0;3.0;14.0;27.0;41.0;149.0;102;262.0
17;TO;1999;38.0;64.0;57;11;68.0;6.0;43.0;60.0;121.0;3.0;9.0;16.0;46.0;69.0;70;137.0
16;AP;1999;41.0;55.0;113;11;124.0;5.0;10.0;163.0;175.0;1.0;16.0;17.0;11.0;179.0;60;192.0
15;PA;1999;175.0;325.0;297;16;314.0;18.0;66.0;462.0;601.0;1.0;31.0;39.0;67.0;494.0;344;642.0
14;RR;1999;34.0;54.0;73;4;77.0;6.0;49.0;82.0;139.0;8.0;6.0;15.0;57.0;88.0;60;154.0
13;AM;1999;137.0;203.0;292;24;316.0;19.0;33.0;422.0;475.0;4.0;45.0;51.0;38.0;467.0;222;527.0
12;AC;1999;6.0;12.0;22;4;26.0;2.0;12.0;15.0;44.0;3.0;2.0;7.0;15.0;17.0;14;51.0
11;RO;1999;129.0;298.0;155;16;171.0;23.0;96.0;153.0;392.0;12.0;15.0;38.0;109.0;168.0;322;432.0
53;DF;1999;310.0;420.0;371;31;402.0;34.0;83.0;440.0;598.0;15.0;40.0;60.0;98.0;480.0;454;659.0
15;PA;2000;247.0;261.0;388;30;418.0;24.0;88.0;603.0;743.0;7.0;55.0;63.0;95.0;658.0;461;806.0
12;AC;2000;21.0;35.0;58;9;67.0;4.0;44.0;44.0;93.0;5.0;7.0;13.0;49.0;51.0;39;106.0
27;AL;2000;277.0;234.0;365;30;395.0;33.0;92.0;487.0;663.0;10.0;46.0;64.0;102.0;533.0;484;727.0
13;AM;2000;165.0;437.0;331;21;352.0;13.0;42.0;454.0;516.0;6.0;28.0;36.0;48.0;482.0;247;552.0
16;AP;2000;24.0;43.0;105;2;107.0;2.0;12.0;124.0;152.0;0.0;4.0;4.0;12.0;128.0;33;156.0
29;BA;2000;451.0;31.0;607;59;666.0;59.0;79.0;802.0;1108.0;15.0;90.0;132.0;94.0;892.0;766;1242.0
23;CE;2000;340.0;89.0;577;43;620.0;54.0;182.0;656.0;1131.0;29.0;51.0;106.0;211.0;708.0;657;1238.0
53;DF;2000;334.0;129.0;388;19;407.0;23.0;97.0;533.0;644.0;7.0;32.0;41.0;104.0;565.0;501;687.0
32;ES;2000;576.0;96.0;692;52;744.0;63.0;237.0;624.0;1322.0;23.0;49.0;113.0;260.0;673.0;1004;1435.0
52;GO;2000;406.0;603.0;482;65;548.0;71.0;269.0;472.0;940.0;51.0;53.0;142.0;320.0;526.0;706;1085.0
21;MA;2000;64.0;138.0;170;17;187.0;12.0;56.0;230.0;320.0;4.0;24.0;32.0;60.0;254.0;141;352.0
31;MG;2000;900.0;451.0;1058;108;1166.0;117.0;541.0;1126.0;1857.0;102.0;125.0;252.0;643.0;1251.0;1420;2109.0
50;MS;2000;246.0;3405.0;281;33;314.0;41.0;259.0;273.0;577.0;38.0;30.0;72.0;297.0;303.0;448;651.0
51;MT;2000;325.0;340.0;396;26;422.0;43.0;303.0;561.0;909.0;33.0;47.0;81.0;336.0;608.0;691;990.0
25;PB;2000;227.0;705.0;277;20;297.0;32.0;52.0;351.0;463.0;7.0;32.0;44.0;59.0;383.0;372;507.0
26;PE;2000;2190.0;941.0;2317;153;2470.0;212.0;476.0;3003.0;3980.0;70.0;202.0;310.0;546.0;3205.0;3617;4290.0
22;PI;2000;55.0;5744.0;118;7;126.0;2.0;33.0;138.0;214.0;3.0;8.0;14.0;36.0;147.0;98;230.0
41;PR;2000;620.0;1303.0;833;59;892.0;76.0;1242.0;331.0;1623.0;137.0;22.0;164.0;1379.0;353.0;1093;1789.0
33;RJ;2000;3459.0;9043.0;3761;220;3982.0;375.0;2447.0;4003.0;6795.0;246.0;265.0;540.0;2694.0;4271.0;6126;7350.0
24;RN;2000;79.0;1015.0;109;13;122.0;9.0;50.0;161.0;235.0;11.0;10.0;22.0;61.0;171.0;147;257.0
11;RO;2000;127.0;259.0;191;19;210.0;18.0;109.0;230.0;419.0;14.0;22.0;46.0;123.0;252.0;277;466.0
14;RR;2000;28.0;1159.0;59;9;68.0;4.0;18.0;89.0;108.0;10.0;12.0;22.0;28.0;101.0;47;130.0
43;RS;2000;662.0;196.0;747;53;800.0;91.0;1216.0;250.0;1491.0;147.0;22.0;175.0;1363.0;272.0;1250;1668.0
42;SC;2000;99.0;407.0;154;18;172.0;26.0;292.0;47.0;380.0;40.0;9.0;53.0;332.0;56.0;222;433.0
28;SE;2000;157.0;633.0;208;10;218.0;18.0;62.0;171.0;373.0;5.0;15.0;37.0;67.0;186.0;279;410.0
35;SP;2000;6116.0;648.0;8705;544;9249.0;599.0;8110.0;6029.0;14441.0;740.0;378.0;1150.0;8850.0;6407.0;9642;15591.0
17;TO;2000;57.0;477.0;81;5;86.0;8.0;52.0;103.0;160.0;5.0;10.0;16.0;57.0;113.0;97;176.0
12;AC;2001;36.0;51.0;64;8;72.0;3.0;31.0;65.0;109.0;4.0;5.0;12.0;35.0;70.0;54;121.0
27;AL;2001;369.0;184.0;456;23;480.0;29.0;95.0;557.0;775.0;11.0;31.0;54.0;106.0;589.0;604;830.0
13;AM;2001;124.0;497.0;258;27;285.0;15.0;50.0;371.0;430.0;8.0;45.0;55.0;58.0;416.0;199;485.0
16;AP;2001;21.0;41.0;108;7;115.0;1.0;13.0;155.0;170.0;2.0;9.0;12.0;15.0;164.0;43;182.0
29;BA;2001;702.0;42.0;848;39;887.0;50.0;132.0;1130.0;1500.0;13.0;81.0;122.0;145.0;1211.0;1129;1622.0
23;CE;2001;343.0;120.0;604;47;651.0;43.0;164.0;638.0;1170.0;21.0;58.0;114.0;185.0;696.0;638;1284.0
53;DF;2001;362.0;202.0;419;28;447.0;25.0;87.0;549.0;649.0;8.0;34.0;44.0;95.0;583.0;495;693.0
32;ES;2001;609.0;95.0;723;60;784.0;80.0;222.0;680.0;1319.0;33.0;58.0;132.0;255.0;738.0;1019;1452.0
52;GO;2001;420.0;595.0;533;58;591.0;64.0;306.0;606.0;1035.0;42.0;61.0;131.0;348.0;667.0;752;1167.0
21;MA;2001;120.0;202.0;271;25;296.0;19.0;81.0;403.0;509.0;16.0;36.0;54.0;97.0;439.0;221;563.0
31;MG;2001;957.0;575.0;1153;102;1255.0;97.0;673.0;1304.0;2124.0;94.0;119.0;241.0;767.0;1423.0;1558;2366.0
50;MS;2001;190.0;3748.0;235;32;267.0;35.0;265.0;277.0;555.0;29.0;31.0;64.0;294.0;308.0;395;621.0
51;MT;2001;286.0;323.0;384;43;427.0;42.0;276.0;573.0;880.0;33.0;56.0;92.0;309.0;629.0;582;973.0
15;PA;2001;289.0;347.0;469;46;515.0;46.0;96.0;725.0;869.0;20.0;74.0;97.0;116.0;799.0;543;966.0
25;PB;2001;211.0;1079.0;264;24;288.0;23.0;47.0;298.0;439.0;9.0;31.0;45.0;56.0;329.0;346;484.0
26;PE;2001;2442.0;939.0;2616;127;2744.0;194.0;491.0;3441.0;4409.0;55.0;206.0;294.0;546.0;3647.0;3949;4710.0
22;PI;2001;64.0;5740.0;113;20;133.0;7.0;34.0;155.0;226.0;7.0;24.0;35.0;41.0;179.0;102;262.0
41;PR;2001;731.0;1461.0;946;95;1041.0;101.0;1469.0;333.0;1852.0;169.0;24.0;197.0;1639.0;358.0;1269;2052.0
33;RJ;2001;3511.0;10006.0;3726;236;3962.0;384.0;2306.0;4003.0;6767.0;206.0;306.0;566.0;2514.0;4309.0;6134;7362.0
24;RN;2001;108.0;1165.0;140;16;156.0;14.0;58.0;204.0;297.0;5.0;17.0;24.0;63.0;221.0;216;322.0
11;RO;2001;157.0;343.0;208;32;240.0;34.0;178.0;275.0;508.0;23.0;35.0;65.0;201.0;310.0;377;573.0
14;RR;2001;20.0;1241.0;48;3;51.0;1.0;21.0;76.0;101.0;1.0;6.0;7.0;22.0;82.0;42;108.0
43;RS;2001;719.0;244.0;807;73;880.0;102.0;1342.0;300.0;1674.0;156.0;17.0;180.0;1498.0;317.0;1343;1854.0
42;SC;2001;133.0;358.0;189;25;214.0;25.0;320.0;61.0;417.0;41.0;7.0;60.0;361.0;68.0;269;477.0
28;SE;2001;228.0;687.0;291;7;298.0;19.0;80.0;256.0;487.0;6.0;15.0;31.0;86.0;271.0;366;518.0
35;SP;2001;6588.0;539.0;8655;538;9193.0;618.0;8301.0;6096.0;14669.0;699.0;379.0;1100.0;9000.0;6475.0;10625;15773.0
17;TO;2001;60.0;470.0;79;10;89.0;11.0;60.0;126.0;189.0;9.0;14.0;23.0;69.0;140.0;131;212.0
12;AC;2002;40.0;63.0;84;6;90.0;3.0;43.0;92.0;140.0;3.0;8.0;11.0;46.0;100.0;66;151.0
27;AL;2002;435.0;186.0;529;30;559.0;45.0;99.0;616.0;921.0;7.0;39.0;70.0;106.0;655.0;720;991.0
13;AM;2002;116.0;661.0;295;17;312.0;15.0;53.0;415.0;478.0;7.0;27.0;35.0;60.0;442.0;201;513.0
16;AP;2002;28.0;43.0;115;5;120.0;5.0;14.0;149.0;169.0;4.0;8.0;12.0;18.0;157.0;50;181.0
29;BA;2002;777.0;45.0;949;65;1014.0;60.0;134.0;1209.0;1634.0;15.0;88.0;123.0;149.0;1298.0;1220;1759.0
23;CE;2002;422.0;76.0;669;60;729.0;49.0;126.0;657.0;1320.0;16.0;48.0;125.0;142.0;705.0;741;1445.0
53;DF;2002;338.0;239.0;385;31;416.0;29.0;80.0;503.0;591.0;13.0;36.0;50.0;93.0;539.0;469;641.0
32;ES;2002;760.0;110.0;862;74;936.0;88.0;261.0;742.0;1494.0;29.0;71.0;149.0;290.0;813.0;1221;1644.0
52;GO;2002;520.0;692.0;647;62;709.0;76.0;361.0;666.0;1225.0;50.0;68.0;145.0;411.0;734.0;893;1370.0
21;MA;2002;115.0;186.0;289;13;302.0;14.0;90.0;462.0;567.0;7.0;31.0;39.0;97.0;493.0;253;606.0
31;MG;2002;1249.0;675.0;1504;120;1624.0;142.0;783.0;1776.0;2700.0;120.0;151.0;294.0;903.0;1927.0;2049;2994.0
50;MS;2002;203.0;3453.0;283;30;313.0;34.0;284.0;298.0;605.0;41.0;35.0;77.0;325.0;333.0;421;684.0
51;MT;2002;279.0;393.0;377;37;414.0;45.0;283.0;549.0;856.0;37.0;53.0;92.0;320.0;602.0;582;948.0
15;PA;2002;373.0;388.0;601;31;632.0;33.0;127.0;974.0;1119.0;10.0;62.0;73.0;137.0;1036.0;694;1192.0
25;PB;2002;227.0;1159.0;299;22;322.0;25.0;44.0;405.0;551.0;7.0;26.0;46.0;51.0;432.0;425;607.0
26;PE;2002;2267.0;1132.0;2474;113;2588.0;182.0;459.0;3395.0;4118.0;75.0;178.0;274.0;534.0;3574.0;3639;4396.0
22;PI;2002;65.0;6308.0;153;9;162.0;10.0;37.0;214.0;279.0;6.0;18.0;27.0;43.0;232.0;120;308.0
41;PR;2002;920.0;1907.0;1147;86;1233.0;92.0;1644.0;377.0;2061.0;167.0;35.0;204.0;1811.0;413.0;1494;2266.0
33;RJ;2002;3888.0;8867.0;4329;225;4555.0;362.0;2631.0;4634.0;7748.0;236.0;284.0;560.0;2869.0;4923.0;6678;8335.0
24;RN;2002;95.0;1402.0;133;10;143.0;7.0;58.0;201.0;276.0;9.0;12.0;23.0;67.0;213.0;193;299.0
11;RO;2002;179.0;371.0;265;17;282.0;21.0;177.0;351.0;569.0;12.0;25.0;44.0;189.0;376.0;393;615.0
14;RR;2002;20.0;1266.0;64;7;71.0;5.0;25.0;83.0;110.0;3.0;9.0;12.0;28.0;92.0;48;122.0
43;RS;2002;757.0;281.0;877;76;953.0;107.0;1402.0;288.0;1714.0;162.0;34.0;198.0;1564.0;322.0;1373;1912.0
42;SC;2002;162.0;386.0;231;32;263.0;36.0;396.0;75.0;510.0;61.0;9.0;75.0;457.0;84.0;317;585.0
28;SE;2002;247.0;817.0;307;16;323.0;14.0;61.0;362.0;519.0;7.0;22.0;37.0;68.0;384.0;402;556.0
35;SP;2002;6042.0;537.0;8077;533;8610.0;547.0;7611.0;5643.0;13471.0;673.0;363.0;1053.0;8285.0;6006.0;9415;14526.0
17;TO;2002;43.0;440.0;73;9;82.0;7.0;39.0;110.0;150.0;4.0;16.0;20.0;43.0;126.0;83;170.0
12;AC;2003;31.0;52.0;69;9;78.0;5.0;35.0;91.0;132.0;6.0;7.0;15.0;41.0;98.0;57;147.0
27;AL;2003;476.0;157.0;586;29;615.0;34.0;58.0;591.0;972.0;5.0;39.0;67.0;63.0;630.0;774;1039.0
13;AM;2003;111.0;826.0;324;19;343.0;14.0;47.0;465.0;523.0;5.0;30.0;35.0;52.0;495.0;171;558.0
16;AP;2003;51.0;38.0;125;8;133.0;5.0;9.0;159.0;170.0;2.0;12.0;15.0;11.0;171.0;70;185.0
29;BA;2003;1008.0;65.0;1204;68;1272.0;68.0;140.0;1565.0;2014.0;18.0;100.0;152.0;158.0;1665.0;1588;2166.0
23;CE;2003;449.0;93.0;727;44;771.0;46.0;149.0;708.0;1460.0;10.0;40.0;103.0;159.0;748.0;846;1563.0
53;DF;2003;381.0;324.0;428;26;454.0;41.0;95.0;578.0;678.0;14.0;45.0;62.0;109.0;623.0;562;742.0
32;ES;2003;699.0;133.0;836;57;893.0;71.0;293.0;816.0;1487.0;42.0;67.0;141.0;335.0;883.0;1179;1629.0
52;GO;2003;522.0;800.0;647;66;713.0;69.0;301.0;709.0;1201.0;45.0;74.0;143.0;346.0;784.0;868;1346.0
21;MA;2003;176.0;272.0;389;30;419.0;27.0;109.0;599.0;726.0;11.0;58.0;69.0;120.0;657.0;351;795.0
31;MG;2003;1814.0;740.0;2062;179;2241.0;200.0;996.0;2340.0;3493.0;152.0;199.0;376.0;1148.0;2539.0;2815;3869.0
50;MS;2003;240.0;3580.0;318;26;344.0;35.0;268.0;355.0;640.0;35.0;27.0;64.0;303.0;382.0;430;705.0
51;MT;2003;270.0;436.0;368;38;406.0;40.0;266.0;544.0;818.0;34.0;53.0;90.0;300.0;597.0;555;908.0
15;PA;2003;466.0;321.0;700;47;747.0;45.0;137.0;1159.0;1311.0;15.0;78.0;93.0;152.0;1237.0;871;1405.0
25;PB;2003;260.0;1520.0;325;14;339.0;22.0;44.0;458.0;579.0;4.0;25.0;35.0;48.0;484.0;459;616.0
26;PE;2003;2298.0;1107.0;2513;132;2645.0;186.0;493.0;3375.0;4243.0;53.0;187.0;274.0;546.0;3562.0;3766;4517.0
22;PI;2003;83.0;6024.0;137;19;156.0;10.0;27.0;217.0;265.0;7.0;24.0;32.0;34.0;241.0;143;298.0
41;PR;2003;1065.0;2615.0;1265;102;1368.0;119.0;1887.0;380.0;2326.0;190.0;32.0;227.0;2078.0;412.0;1748;2555.0
33;RJ;2003;3675.0;9032.0;4303;214;4517.0;336.0;2499.0;4671.0;7579.0;228.0;277.0;527.0;2728.0;4948.0;6365;8115.0
24;RN;2003;155.0;1627.0;183;17;200.0;17.0;81.0;261.0;373.0;14.0;16.0;32.0;95.0;277.0;289;405.0
11;RO;2003;155.0;348.0;207;24;231.0;33.0;149.0;346.0;514.0;22.0;29.0;51.0;171.0;375.0;381;566.0
14;RR;2003;16.0;1270.0;50;3;53.0;3.0;21.0;75.0;100.0;1.0;5.0;6.0;22.0;80.0;41;106.0
43;RS;2003;755.0;384.0;871;61;932.0;95.0;1391.0;331.0;1731.0;152.0;23.0;177.0;1543.0;354.0;1365;1908.0
42;SC;2003;220.0;395.0;283;30;313.0;30.0;442.0;93.0;600.0;52.0;8.0;70.0;494.0;101.0;414;670.0
28;SE;2003;200.0;797.0;247;12;259.0;18.0;54.0;262.0;435.0;8.0;16.0;34.0;62.0;278.0;339;469.0
35;SP;2003;6132.0;515.0;7826;522;8348.0;538.0;7487.0;5461.0;13017.0;640.0;378.0;1029.0;8127.0;5839.0;9570;14048.0
17;TO;2003;47.0;520.0;80;7;87.0;5.0;37.0;144.0;182.0;5.0;17.0;22.0;42.0;161.0;98;204.0
12;AC;2004;31.0;42.0;71;4;75.0;7.0;24.0;73.0;104.0;3.0;7.0;10.0;27.0;80.0;49;114.0
27;AL;2004;481.0;213.0;589;34;623.0;35.0;43.0;666.0;960.0;9.0;42.0;75.0;52.0;708.0;754;1035.0
13;AM;2004;136.0;927.0;290;19;309.0;14.0;63.0;406.0;477.0;13.0;34.0;49.0;76.0;440.0;227;526.0
16;AP;2004;51.0;30.0;108;8;116.0;5.0;9.0;146.0;157.0;1.0;14.0;15.0;10.0;160.0;74;172.0
29;BA;2004;1023.0;69.0;1222;89;1311.0;78.0;139.0;1704.0;2064.0;20.0;155.0;195.0;159.0;1859.0;1590;2262.0
23;CE;2004;524.0;94.0;774;52;826.0;51.0;125.0;655.0;1459.0;15.0;44.0;123.0;140.0;699.0;916;1582.0
53;DF;2004;360.0;332.0;410;26;436.0;29.0;101.0;538.0;642.0;8.0;43.0;52.0;109.0;582.0;506;696.0
32;ES;2004;761.0;123.0;875;61;936.0;80.0;227.0;859.0;1482.0;33.0;69.0;137.0;260.0;928.0;1188;1619.0
52;GO;2004;601.0;865.0;757;59;816.0;50.0;411.0;830.0;1377.0;64.0;64.0;142.0;475.0;896.0;988;1524.0
21;MA;2004;196.0;228.0;373;25;398.0;23.0;79.0;587.0;679.0;9.0;44.0;53.0;88.0;631.0;355;732.0
31;MG;2004;2154.0;719.0;2386;185;2571.0;220.0;1063.0;2686.0;3913.0;115.0;230.0;373.0;1178.0;2916.0;3255;4286.0
50;MS;2004;217.0;3155.0;296;23;319.0;24.0;245.0;342.0;601.0;24.0;30.0;55.0;269.0;372.0;387;656.0
51;MT;2004;236.0;431.0;352;49;401.0;36.0;234.0;512.0;754.0;39.0;60.0;99.0;273.0;572.0;454;853.0
15;PA;2004;539.0;286.0;768;43;811.0;42.0;143.0;1274.0;1426.0;14.0;77.0;93.0;157.0;1351.0;969;1519.0
25;PB;2004;257.0;1511.0;333;17;350.0;41.0;40.0;493.0;611.0;5.0;47.0;60.0;45.0;540.0;472;675.0
26;PE;2004;2125.0;1108.0;2348;142;2490.0;189.0;388.0;3224.0;3898.0;56.0;206.0;276.0;444.0;3430.0;3344;4174.0
22;PI;2004;80.0;5852.0;156;17;173.0;8.0;40.0;237.0;301.0;10.0;14.0;26.0;50.0;251.0;131;327.0
41;PR;2004;1185.0;3035.0;1447;119;1566.0;132.0;2030.0;495.0;2573.0;202.0;41.0;249.0;2233.0;537.0;1912;2826.0
33;RJ;2004;3555.0;7152.0;4144;205;4349.0;338.0;2307.0;4536.0;7221.0;230.0;251.0;506.0;2537.0;4787.0;6193;7731.0
24;RN;2004;134.0;1776.0;172;9;181.0;9.0;61.0;233.0;323.0;4.0;13.0;21.0;65.0;246.0;237;344.0
11;RO;2004;170.0;313.0;265;15;280.0;20.0;147.0;358.0;529.0;17.0;13.0;33.0;164.0;372.0;334;563.0
14;RR;2004;15.0;1326.0;38;6;44.0;1.0;13.0;63.0;78.0;3.0;3.0;7.0;16.0;66.0;31;85.0
43;RS;2004;837.0;345.0;936;80;1016.0;106.0;1414.0;358.0;1787.0;167.0;26.0;195.0;1581.0;384.0;1432;1982.0
42;SC;2004;202.0;363.0;258;23;281.0;32.0;427.0;92.0;559.0;63.0;7.0;79.0;490.0;99.0;377;638.0
28;SE;2004;167.0;937.0;220;14;234.0;14.0;43.0;255.0;424.0;6.0;15.0;29.0;49.0;270.0;301;454.0
35;SP;2004;4743.0;418.0;6045;401;6446.0;458.0;5958.0;4434.0;10474.0;572.0;285.0;861.0;6530.0;4720.0;7611;11336.0
17;TO;2004;47.0;476.0;91;8;99.0;6.0;45.0;135.0;180.0;4.0;14.0;18.0;49.0;149.0;100;198.0
13;AM;2005;161.0;1139.0;333;23;356.0;13.0;66.0;466.0;551.0;7.0;40.0;48.0;73.0;506.0;264;599.0
17;TO;2005;39.0;427.0;80;8;88.0;6.0;35.0;133.0;169.0;6.0;15.0;21.0;41.0;148.0;78;190.0
