cod;nome;per√≠odo;homicidio-de-jovens-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-homens-nao-negros;homicidios-homens-negros;homicidios-homens;homicidios-mulheres-nao-negras;homicidios-mulheres-negras;homicidios-mulheres;homicidios-nao-negros;homicidios-negros;homicidios-por-armas-de-fogo;homicidios
35;SP;2005;3415.0;454.0;4379;340;4719.0;367.0;4575.0;3474.0;8091.0;512.0;260.0;776.0;5087.0;3734.0;5796;8870.0
28;SE;2005;185.0;885.0;238;11;249.0;12.0;69.0;323.0;459.0;4.0;22.0;28.0;73.0;345.0;318;487.0
42;SC;2005;231.0;319.0;295;27;322.0;33.0;422.0;88.0;564.0;54.0;6.0;68.0;476.0;94.0;392;633.0
43;RS;2005;836.0;359.0;957;77;1034.0;114.0;1415.0;385.0;1812.0;186.0;22.0;209.0;1601.0;407.0;1473;2021.0
14;RR;2005;8.0;1359.0;40;2;42.0;2.0;18.0;64.0;84.0;2.0;9.0;11.0;20.0;73.0;28;95.0
11;RO;2005;175.0;342.0;220;26;246.0;25.0;134.0;361.0;506.0;14.0;30.0;49.0;148.0;391.0;367;555.0
24;RN;2005;169.0;1906.0;213;21;235.0;12.0;65.0;248.0;364.0;9.0;27.0;41.0;75.0;275.0;268;406.0
33;RJ;2005;3496.0;5427.0;3974;201;4177.0;329.0;2238.0;4385.0;6885.0;204.0;273.0;507.0;2443.0;4658.0;5978;7408.0
41;PR;2005;1303.0;2895.0;1558;100;1658.0;121.0;2094.0;589.0;2738.0;185.0;50.0;239.0;2279.0;639.0;2027;2977.0
22;PI;2005;100.0;5639.0;196;14;210.0;11.0;43.0;266.0;328.0;8.0;29.0;40.0;51.0;295.0;151;368.0
26;PE;2005;2243.0;1088.0;2482;134;2616.0;197.0;414.0;3291.0;4048.0;37.0;226.0;282.0;451.0;3517.0;3509;4330.0
25;PB;2005;310.0;1908.0;378;25;403.0;36.0;43.0;563.0;683.0;7.0;45.0;62.0;50.0;608.0;543;745.0
15;PA;2005;708.0;306.0;1024;57;1082.0;56.0;155.0;1625.0;1797.0;26.0;101.0;127.0;181.0;1726.0;1195;1926.0
51;MT;2005;265.0;507.0;373;34;407.0;32.0;227.0;579.0;815.0;38.0;51.0;89.0;265.0;631.0;487;907.0
50;MS;2005;195.0;3312.0;278;30;308.0;26.0;230.0;316.0;561.0;38.0;31.0;70.0;268.0;347.0;345;631.0
31;MG;2005;2039.0;873.0;2301;160;2461.0;204.0;999.0;2658.0;3846.0;143.0;212.0;377.0;1142.0;2870.0;3099;4223.0
21;MA;2005;276.0;256.0;481;30;511.0;21.0;130.0;725.0;877.0;8.0;49.0;58.0;138.0;774.0;489;935.0
52;GO;2005;619.0;945.0;776;54;830.0;52.0;361.0;920.0;1334.0;46.0;83.0;133.0;408.0;1003.0;937;1468.0
32;ES;2005;726.0;140.0;839;65;904.0;101.0;213.0;924.0;1453.0;30.0;90.0;149.0;243.0;1014.0;1189;1602.0
53;DF;2005;317.0;468.0;384;19;403.0;25.0;81.0;519.0;610.0;14.0;32.0;47.0;95.0;551.0;452;657.0
23;CE;2005;613.0;72.0;883;59;943.0;66.0;138.0;715.0;1555.0;16.0;45.0;143.0;154.0;760.0;1012;1699.0
29;BA;2005;1319.0;50.0;1613;90;1703.0;114.0;150.0;2216.0;2669.0;22.0;164.0;211.0;172.0;2380.0;2022;2881.0
16;AP;2005;33.0;26.0;117;6;123.0;5.0;20.0;159.0;181.0;2.0;13.0;15.0;22.0;172.0;55;196.0
27;AL;2005;537.0;251.0;660;36;696.0;36.0;61.0;766.0;1129.0;8.0;46.0;74.0;69.0;812.0;909;1203.0
12;AC;2005;18.0;35.0;60;7;67.0;1.0;26.0;79.0;111.0;5.0;8.0;13.0;31.0;87.0;36;124.0
17;TO;2006;50.0;402.0;113;8;121.0;6.0;34.0;171.0;207.0;4.0;18.0;22.0;38.0;189.0;85;229.0
51;MT;2006;282.0;589.0;394;33;427.0;22.0;212.0;605.0;825.0;28.0;42.0;70.0;241.0;647.0;497;896.0
50;MS;2006;215.0;3395.0;295;20;315.0;17.0;265.0;342.0;627.0;29.0;24.0;55.0;294.0;366.0;370;683.0
31;MG;2006;1990.0;1244.0;2220;186;2408.0;204.0;1103.0;2520.0;3783.0;138.0;238.0;392.0;1242.0;2759.0;3075;4177.0
21;MA;2006;256.0;285.0;497;30;527.0;24.0;135.0;753.0;902.0;8.0;58.0;67.0;143.0;811.0;479;969.0
52;GO;2006;602.0;1017.0;766;59;825.0;69.0;332.0;985.0;1364.0;48.0;91.0;143.0;381.0;1076.0;984;1509.0
32;ES;2006;787.0;181.0;904;78;982.0;100.0;211.0;1008.0;1578.0;44.0;103.0;183.0;255.0;1111.0;1294;1762.0
53;DF;2006;305.0;455.0;374;25;399.0;33.0;70.0;537.0;611.0;9.0;39.0;49.0;79.0;576.0;435;660.0
23;CE;2006;642.0;79.0;890;51;941.0;43.0;148.0;907.0;1658.0;17.0;65.0;134.0;165.0;972.0;1060;1792.0
15;PA;2006;771.0;388.0;1130;55;1185.0;71.0;139.0;1749.0;1930.0;21.0;118.0;140.0;160.0;1867.0;1295;2073.0
25;PB;2006;373.0;2269.0;434;24;458.0;39.0;38.0;648.0;762.0;9.0;49.0;62.0;47.0;697.0;628;825.0
26;PE;2006;2226.0;1194.0;2479;137;2616.0;197.0;351.0;3632.0;4162.0;37.0;261.0;310.0;388.0;3893.0;3592;4472.0
22;PI;2006;116.0;5460.0;221;19;240.0;11.0;47.0;329.0;386.0;4.0;28.0;32.0;51.0;357.0;192;418.0
29;BA;2006;1561.0;75.0;1824;123;1947.0;131.0;183.0;2624.0;3065.0;21.0;197.0;243.0;204.0;2821.0;2402;3311.0
41;PR;2006;1361.0;2870.0;1588;118;1706.0;140.0;2326.0;474.0;2839.0;196.0;48.0;249.0;2531.0;522.0;2229;3098.0
33;RJ;2006;3347.0;5370.0;3880;196;4076.0;319.0;2217.0;4339.0;6858.0;219.0;267.0;504.0;2436.0;4611.0;5790;7389.0
24;RN;2006;175.0;2085.0;219;15;234.0;21.0;71.0;291.0;413.0;10.0;27.0;42.0;81.0;318.0;306;455.0
11;RO;2006;189.0;356.0;234;23;257.0;25.0;125.0;386.0;531.0;19.0;31.0;51.0;145.0;418.0;383;585.0
14;RR;2006;18.0;1342.0;41;5;46.0;3.0;31.0;64.0;96.0;10.0;3.0;13.0;43.0;67.0;38;111.0
43;RS;2006;787.0;352.0;924;56;980.0;83.0;1457.0;351.0;1821.0;128.0;30.0;162.0;1585.0;381.0;1425;1983.0
42;SC;2006;226.0;353.0;290;31;321.0;34.0;439.0;78.0;574.0;70.0;15.0;92.0;509.0;93.0;386;666.0
28;SE;2006;243.0;913.0;316;18;334.0;15.0;76.0;384.0;545.0;9.0;22.0;40.0;85.0;406.0;403;585.0
35;SP;2006;3285.0;474.0;3939;346;4285.0;387.0;4315.0;3121.0;7582.0;530.0;242.0;788.0;4846.0;3364.0;5761;8377.0
16;AP;2006;49.0;35.0;125;3;128.0;0.0;11.0;176.0;189.0;3.0;10.0;13.0;14.0;186.0;75;202.0
13;AM;2006;237.0;1223.0;402;26;428.0;22.0;77.0;551.0;646.0;18.0;33.0;53.0;95.0;584.0;379;699.0
27;AL;2006;823.0;357.0;925;55;980.0;64.0;62.0;1012.0;1514.0;6.0;66.0;106.0;68.0;1078.0;1308;1620.0
12;AC;2006;23.0;48.0;81;4;85.0;2.0;36.0;94.0;143.0;6.0;8.0;15.0;42.0;102.0;50;158.0
43;RS;2007;939.0;356.0;1056;81;1137.0;100.0;1574.0;411.0;2003.0;161.0;29.0;193.0;1735.0;440.0;1661;2199.0
12;AC;2007;30.0;47.0;64;8;72.0;4.0;26.0;82.0;119.0;8.0;9.0;18.0;34.0;91.0;51;137.0
27;AL;2007;959.0;390.0;1046;56;1102.0;74.0;65.0;1179.0;1727.0;11.0;68.0;109.0;76.0;1247.0;1552;1836.0
13;AM;2007;265.0;1327.0;405;28;433.0;25.0;38.0;605.0;663.0;7.0;43.0;52.0;45.0;648.0;415;715.0
16;AP;2007;40.0;26.0;107;7;114.0;5.0;17.0;132.0;160.0;4.0;8.0;12.0;21.0;140.0;60;172.0
29;BA;2007;1770.0;55.0;2036;124;2160.0;133.0;233.0;2909.0;3408.0;27.0;207.0;249.0;260.0;3116.0;2700;3659.0
23;CE;2007;758.0;80.0;1016;50;1066.0;43.0;185.0;1283.0;1806.0;27.0;84.0;126.0;213.0;1367.0;1224;1933.0
53;DF;2007;352.0;579.0;409;22;431.0;28.0;94.0;550.0;656.0;13.0;41.0;55.0;107.0;591.0;516;711.0
32;ES;2007;823.0;169.0;929;79;1008.0;111.0;245.0;1081.0;1691.0;32.0;116.0;186.0;277.0;1197.0;1363;1877.0
52;GO;2007;643.0;1181.0;789;60;849.0;73.0;341.0;970.0;1382.0;51.0;82.0;139.0;392.0;1052.0;1009;1521.0
21;MA;2007;353.0;415.0;592;31;623.0;23.0;144.0;911.0;1063.0;13.0;50.0;63.0;157.0;962.0;602;1127.0
31;MG;2007;1914.0;1478.0;2168;176;2344.0;218.0;1030.0;2528.0;3722.0;131.0;248.0;403.0;1161.0;2776.0;2983;4125.0
50;MS;2007;222.0;3511.0;312;28;340.0;29.0;274.0;341.0;641.0;39.0;28.0;67.0;314.0;369.0;401;710.0
51;MT;2007;248.0;613.0;334;34;368.0;35.0;230.0;561.0;794.0;41.0;54.0;95.0;271.0;615.0;542;889.0
15;PA;2007;859.0;329.0;1197;66;1263.0;58.0;164.0;1841.0;2049.0;26.0;112.0;144.0;190.0;1953.0;1385;2194.0
25;PB;2007;372.0;2565.0;432;29;461.0;42.0;32.0;704.0;793.0;8.0;55.0;69.0;40.0;759.0;656;864.0
26;PE;2007;2310.0;1252.0;2558;139;2698.0;192.0;246.0;3790.0;4262.0;36.0;241.0;290.0;282.0;4032.0;3706;4557.0
22;PI;2007;103.0;4824.0;174;12;186.0;15.0;50.0;285.0;346.0;9.0;24.0;35.0;59.0;310.0;184;383.0
41;PR;2007;1450.0;2765.0;1650;110;1760.0;134.0;2220.0;575.0;2860.0;193.0;41.0;241.0;2414.0;617.0;2285;3105.0
33;RJ;2007;2967.0;3859.0;3485;167;3652.0;272.0;1883.0;3952.0;6121.0;187.0;216.0;416.0;2071.0;4169.0;5102;6551.0
24;RN;2007;249.0;2150.0;294;20;314.0;23.0;84.0;399.0;547.0;11.0;25.0;42.0;95.0;424.0;438;589.0
11;RO;2007;164.0;312.0;200;10;210.0;9.0;94.0;285.0;404.0;8.0;20.0;28.0;102.0;305.0;321;432.0
14;RR;2007;12.0;1559.0;44;3;47.0;2.0;20.0;75.0;97.0;8.0;10.0;19.0;28.0;85.0;28;116.0
42;SC;2007;233.0;371.0;292;34;328.0;21.0;450.0;88.0;560.0;60.0;6.0;70.0;510.0;94.0;377;632.0
28;SE;2007;211.0;936.0;282;12;294.0;19.0;66.0;350.0;488.0;9.0;21.0;34.0;75.0;371.0;348;522.0
35;SP;2007;2267.0;507.0;2868;267;3135.0;291.0;3315.0;2417.0;5834.0;396.0;185.0;595.0;3711.0;2602.0;4150;6437.0
17;TO;2007;33.0;488.0;83;11;94.0;8.0;29.0;164.0;196.0;2.0;26.0;28.0;31.0;191.0;88;226.0
51;MT;2008;291.0;701.0;390;38;428.0;36.0;211.0;630.0;851.0;27.0;57.0;86.0;238.0;687.0;572;937.0
42;SC;2008;302.0;370.0;373;32;406.0;43.0;600.0;100.0;715.0;74.0;8.0;86.0;674.0;108.0;505;802.0
28;SE;2008;235.0;1117.0;298;15;313.0;11.0;65.0;383.0;525.0;8.0;21.0;30.0;73.0;404.0;368;555.0
35;SP;2008;2027.0;536.0;2706;242;2948.0;292.0;3263.0;2265.0;5660.0;451.0;199.0;667.0;3715.0;2464.0;3891;6332.0
17;TO;2008;55.0;541.0;111;11;122.0;10.0;37.0;177.0;216.0;4.0;17.0;21.0;41.0;194.0;98;237.0
43;RS;2008;1011.0;461.0;1116;83;1199.0;118.0;1685.0;439.0;2161.0;184.0;32.0;219.0;1869.0;471.0;1801;2380.0
14;RR;2008;9.0;1683.0;35;3;38.0;2.0;19.0;69.0;90.0;9.0;5.0;15.0;28.0;74.0;29;105.0
11;RO;2008;136.0;269.0;195;15;210.0;17.0;120.0;298.0;440.0;16.0;20.0;39.0;136.0;319.0;286;480.0
24;RN;2008;326.0;2366.0;373;29;402.0;36.0;93.0;510.0;655.0;7.0;48.0;59.0;100.0;558.0;536;714.0
33;RJ;2008;2442.0;3598.0;2934;158;3092.0;219.0;1644.0;3365.0;5274.0;133.0;223.0;373.0;1777.0;3593.0;4336;5662.0
41;PR;2008;1591.0;2580.0;1777;137;1914.0;168.0;2413.0;640.0;3132.0;244.0;55.0;306.0;2660.0;695.0;2540;3445.0
22;PI;2008;90.0;4108.0;171;16;187.0;8.0;46.0;268.0;323.0;6.0;31.0;38.0;52.0;299.0;159;361.0
26;PE;2008;2158.0;1370.0;2482;135;2621.0;166.0;387.0;3641.0;4140.0;45.0;245.0;298.0;433.0;3888.0;3449;4446.0
25;PB;2008;447.0;3620.0;531;30;561.0;49.0;42.0;852.0;942.0;8.0;76.0;87.0;50.0;928.0;750;1029.0
12;AC;2008;27.0;40.0;71;5;76.0;0.0;18.0;69.0;120.0;5.0;5.0;13.0;23.0;74.0;40;133.0
27;AL;2008;1018.0;426.0;1101;41;1142.0;55.0;55.0;1465.0;1804.0;3.0;71.0;83.0;58.0;1536.0;1596;1887.0
13;AM;2008;287.0;1837.0;455;26;481.0;20.0;40.0;711.0;767.0;7.0;56.0;63.0;47.0;767.0;446;830.0
16;AP;2008;46.0;27.0;137;4;141.0;3.0;6.0;183.0;196.0;0.0;13.0;13.0;6.0;196.0;65;210.0
29;BA;2008;2547.0;61.0;2833;161;2994.0;193.0;311.0;3876.0;4485.0;34.0;260.0;315.0;345.0;4137.0;3828;4819.0
23;CE;2008;803.0;88.0;1089;42;1131.0;48.0;176.0;1303.0;1902.0;18.0;74.0;117.0;194.0;1377.0;1332;2019.0
53;DF;2008;390.0;673.0;457;35;492.0;38.0;98.0;644.0;748.0;7.0;57.0;64.0;105.0;701.0;579;812.0
32;ES;2008;937.0;151.0;1024;89;1113.0;124.0;234.0;1123.0;1756.0;30.0;129.0;190.0;264.0;1252.0;1495;1947.0
52;GO;2008;739.0;1284.0;914;57;971.0;82.0;364.0;1204.0;1629.0;49.0;104.0;160.0;413.0;1309.0;1201;1792.0
15;PA;2008;1160.0;357.0;1553;82;1635.0;89.0;186.0;2445.0;2687.0;27.0;139.0;169.0;213.0;2585.0;1929;2860.0
21;MA;2008;408.0;500.0;677;37;714.0;25.0;144.0;1030.0;1196.0;12.0;67.0;81.0;156.0;1097.0;698;1277.0
31;MG;2008;1764.0;1541.0;2014;190;2204.0;174.0;938.0;2407.0;3511.0;133.0;221.0;377.0;1071.0;2628.0;2755;3889.0
50;MS;2008;229.0;3277.0;318;27;345.0;22.0;274.0;339.0;639.0;38.0;22.0;60.0;312.0;361.0;392;699.0
21;MA;2009;458.0;590.0;737;38;775.0;32.0;142.0;1143.0;1311.0;19.0;67.0;87.0;161.0;1210.0;785;1398.0
25;PB;2009;608.0;4136.0;660;50;710.0;67.0;41.0;1069.0;1164.0;10.0;84.0;98.0;51.0;1153.0;1019;1263.0
26;PE;2009;1939.0;1418.0;2136;145;2281.0;186.0;328.0;3208.0;3656.0;42.0;252.0;304.0;370.0;3460.0;3117;3963.0
22;PI;2009;117.0;3805.0;193;12;205.0;14.0;49.0;296.0;354.0;7.0;22.0;31.0;56.0;318.0;184;385.0
41;PR;2009;1672.0;2406.0;1920;158;2078.0;199.0;2698.0;619.0;3361.0;274.0;57.0;331.0;2972.0;677.0;2673;3698.0
33;RJ;2009;2205.0;3606.0;2704;137;2841.0;199.0;1538.0;3237.0;5000.0;145.0;190.0;350.0;1684.0;3430.0;4009;5365.0
24;RN;2009;379.0;2470.0;434;21;455.0;30.0;115.0;574.0;743.0;17.0;38.0;57.0;132.0;612.0;620;800.0
11;RO;2009;172.0;325.0;208;23;231.0;28.0;127.0;338.0;486.0;15.0;35.0;51.0;142.0;373.0;353;538.0
14;RR;2009;13.0;1519.0;43;9;52.0;4.0;26.0;66.0;94.0;11.0;12.0;24.0;37.0;78.0;27;118.0
43;RS;2009;858.0;471.0;980;101;1081.0;126.0;1589.0;409.0;2017.0;186.0;36.0;225.0;1775.0;445.0;1645;2242.0
42;SC;2009;312.0;401.0;391;38;429.0;39.0;605.0;107.0;726.0;82.0;8.0;93.0;687.0;115.0;511;820.0
28;SE;2009;244.0;1183.0;311;13;324.0;16.0;65.0;454.0;617.0;9.0;21.0;36.0;74.0;475.0;451;653.0
35;SP;2009;1974.0;528.0;2692;248;2940.0;235.0;3382.0;2385.0;5882.0;413.0;230.0;660.0;3799.0;2618.0;3851;6557.0
17;TO;2009;64.0;623.0;120;15;135.0;12.0;47.0;208.0;258.0;8.0;23.0;31.0;55.0;231.0;128;289.0
15;PA;2009;1242.0;435.0;1635;82;1717.0;84.0;189.0;2558.0;2802.0;23.0;152.0;180.0;213.0;2711.0;2038;2989.0
51;MT;2009;309.0;951.0;425;44;469.0;44.0;209.0;682.0;905.0;38.0;55.0;94.0;247.0;738.0;573;1000.0
50;MS;2009;244.0;2931.0;328;26;354.0;28.0;276.0;374.0;660.0;40.0;25.0;65.0;316.0;399.0;429;725.0
31;MG;2009;1646.0;1479.0;1894;168;2062.0;197.0;923.0;2261.0;3340.0;132.0;246.0;402.0;1055.0;2507.0;2603;3742.0
52;GO;2009;740.0;1441.0;915;62;977.0;76.0;365.0;1327.0;1733.0;45.0;117.0;165.0;410.0;1446.0;1260;1902.0
32;ES;2009;974.0;170.0;1057;107;1164.0;130.0;219.0;1215.0;1769.0;32.0;152.0;216.0;251.0;1367.0;1548;1985.0
53;DF;2009;450.0;753.0;487;36;523.0;43.0;105.0;692.0;806.0;14.0;61.0;76.0;119.0;753.0;666;882.0
23;CE;2009;917.0;116.0;1130;64;1196.0;68.0;166.0;1280.0;2025.0;25.0;80.0;138.0;191.0;1360.0;1511;2165.0
29;BA;2009;2971.0;66.0;3276;151;3427.0;220.0;301.0;4455.0;5078.0;32.0;284.0;345.0;333.0;4741.0;4361;5432.0
16;AP;2009;43.0;23.0;104;4;108.0;3.0;9.0;158.0;178.0;2.0;10.0;12.0;11.0;168.0;69;190.0
13;AM;2009;359.0;1953.0;519;21;540.0;28.0;37.0;786.0;849.0;7.0;60.0;67.0;44.0;846.0;572;916.0
27;AL;2009;969.0;544.0;1060;55;1115.0;81.0;46.0;1499.0;1762.0;2.0;96.0;111.0;48.0;1595.0;1560;1873.0
12;AC;2009;33.0;59.0;72;6;78.0;2.0;10.0;97.0;137.0;6.0;6.0;16.0;16.0;103.0;61;153.0
13;AM;2010;405.0;2373.0;602;32;634.0;28.0;71.0;920.0;1017.0;5.0;60.0;65.0;76.0;980.0;635;1082.0
51;MT;2010;310.0;1129.0;434;28;462.0;27.0;217.0;667.0;890.0;26.0;54.0;80.0;243.0;722.0;566;972.0
50;MS;2010;186.0;2497.0;267;25;292.0;21.0;238.0;336.0;579.0;33.0;38.0;76.0;271.0;374.0;344;656.0
31;MG;2010;1523.0;1633.0;1772;184;1956.0;197.0;797.0;2256.0;3236.0;141.0;259.0;409.0;938.0;2515.0;2456;3646.0
21;MA;2010;480.0;578.0;785;52;837.0;42.0;133.0;1242.0;1402.0;18.0;99.0;117.0;151.0;1341.0;827;1519.0
52;GO;2010;803.0;1954.0;1003;85;1088.0;80.0;349.0;1403.0;1795.0;48.0;128.0;182.0;397.0;1533.0;1317;1979.0
32;ES;2010;875.0;191.0;957;79;1036.0;94.0;231.0;1171.0;1618.0;34.0;128.0;174.0;265.0;1299.0;1359;1792.0
53;DF;2010;379.0;785.0;420;32;452.0;42.0;85.0;630.0;720.0;15.0;50.0;66.0;100.0;680.0;576;786.0
23;CE;2010;1219.0;122.0;1432;62;1494.0;103.0;272.0;1600.0;2515.0;27.0;111.0;173.0;299.0;1711.0;2057;2688.0
29;BA;2010;2938.0;98.0;3357;214;3571.0;235.0;332.0;4781.0;5398.0;42.0;361.0;438.0;374.0;5145.0;4439;5844.0
16;AP;2010;72.0;27.0;164;4;168.0;5.0;26.0;191.0;244.0;2.0;14.0;16.0;28.0;205.0;103;260.0
27;AL;2010;1118.0;607.0;1223;64;1287.0;88.0;42.0;1592.0;1950.0;6.0;104.0;137.0;48.0;1696.0;1721;2087.0
12;AC;2010;34.0;56.0;67;7;74.0;7.0;25.0;83.0;146.0;3.0;13.0;19.0;28.0;96.0;63;165.0
17;TO;2010;68.0;534.0;160;18;178.0;9.0;38.0;250.0;293.0;3.0;30.0;34.0;41.0;280.0;131;327.0
35;SP;2010;1793.0;538.0;2389;281;2671.0;232.0;2911.0;2219.0;5355.0;424.0;223.0;678.0;3336.0;2442.0;3469;6039.0
28;SE;2010;264.0;1237.0;332;19;351.0;18.0;52.0;533.0;633.0;6.0;36.0;43.0;58.0;569.0;452;676.0
42;SC;2010;255.0;322.0;338;42;380.0;42.0;578.0;114.0;712.0;94.0;15.0;110.0;673.0;129.0;483;823.0
43;RS;2010;787.0;441.0;891;92;983.0;119.0;1438.0;398.0;1856.0;185.0;38.0;227.0;1623.0;436.0;1496;2085.0
14;RR;2010;12.0;1376.0;45;7;52.0;2.0;11.0;93.0;110.0;2.0;9.0;11.0;13.0;102.0;29;121.0
11;RO;2010;162.0;333.0;216;10;226.0;17.0;131.0;364.0;508.0;11.0;23.0;37.0;142.0;388.0;351;546.0
24;RN;2010;349.0;2441.0;408;31;439.0;33.0;98.0;582.0;739.0;13.0;51.0;71.0;111.0;633.0;611;810.0
33;RJ;2010;2261.0;3233.0;2888;132;3020.0;191.0;1610.0;3484.0;5310.0;128.0;196.0;339.0;1738.0;3684.0;4111;5667.0
41;PR;2010;1621.0;2259.0;1805;165;1970.0;189.0;2588.0;619.0;3248.0;283.0;51.0;338.0;2871.0;670.0;2630;3586.0
22;PI;2010;115.0;3912.0;184;11;195.0;16.0;45.0;299.0;371.0;10.0;28.0;40.0;55.0;327.0;207;411.0
26;PE;2010;1612.0;1265.0;1858;119;1977.0;152.0;228.0;2803.0;3226.0;29.0;197.0;247.0;257.0;3000.0;2649;3473.0
25;PB;2010;733.0;4201.0;782;52;834.0;79.0;48.0;1227.0;1336.0;8.0;98.0;119.0;56.0;1325.0;1208;1455.0
15;PA;2010;1469.0;434.0;1819;115;1935.0;126.0;236.0;2998.0;3286.0;30.0;197.0;231.0;266.0;3198.0;2502;3521.0
17;TO;2011;78.0;613.0;137;23;160.0;13.0;51.0;252.0;311.0;11.0;36.0;49.0;62.0;288.0;158;361.0
52;GO;2011;941.0;1944.0;1098;103;1201.0;129.0;392.0;1537.0;2005.0;67.0;182.0;262.0;459.0;1721.0;1579;2272.0
32;ES;2011;887.0;241.0;918;87;1005.0;105.0;201.0;1105.0;1505.0;40.0;104.0;167.0;241.0;1209.0;1352;1672.0
53;DF;2011;405.0;893.0;455;38;493.0;44.0;94.0;723.0;823.0;16.0;61.0;79.0;110.0;784.0;657;902.0
23;CE;2011;1257.0;145.0;1485;83;1568.0;119.0;251.0;1541.0;2603.0;24.0;106.0;189.0;275.0;1647.0;2063;2792.0
29;BA;2011;2636.0;71.0;3017;204;3221.0;250.0;374.0;4402.0;5089.0;40.0;375.0;449.0;415.0;4780.0;4170;5549.0
16;AP;2011;53.0;25.0;112;10;122.0;9.0;24.0;163.0;190.0;3.0;16.0;19.0;27.0;179.0;80;209.0
13;AM;2011;590.0;1968.0;762;29;791.0;32.0;131.0;1065.0;1210.0;15.0;66.0;81.0;146.0;1131.0;879;1292.0
27;AL;2011;1178.0;847.0;1260;61;1321.0;94.0;67.0;1899.0;2106.0;7.0;114.0;138.0;74.0;2013.0;1913;2244.0
12;AC;2011;26.0;45.0;64;9;73.0;5.0;12.0;88.0;146.0;4.0;11.0;18.0;16.0;99.0;50;164.0
21;MA;2011;515.0;744.0;765;55;820.0;51.0;184.0;1255.0;1460.0;20.0;109.0;131.0;204.0;1364.0;944;1591.0
35;SP;2011;1643.0;568.0;2304;201;2505.0;192.0;2808.0;2293.0;5257.0;380.0;179.0;580.0;3189.0;2473.0;3262;5842.0
28;SE;2011;292.0;1446.0;343;28;371.0;30.0;49.0;621.0;671.0;9.0;50.0;60.0;58.0;671.0;523;731.0
42;SC;2011;273.0;333.0;355;34;389.0;33.0;607.0;123.0;737.0;68.0;5.0;74.0;675.0;128.0;483;811.0
43;RS;2011;829.0;450.0;926;92;1018.0;114.0;1424.0;427.0;1869.0;180.0;21.0;202.0;1605.0;448.0;1531;2077.0
14;RR;2011;10.0;1413.0;35;4;39.0;0.0;14.0;65.0;84.0;1.0;9.0;10.0;15.0;74.0;25;95.0
11;RO;2011;130.0;263.0;168;19;187.0;22.0;102.0;290.0;401.0;14.0;31.0;48.0;116.0;321.0;286;450.0
24;RN;2011;481.0;2222.0;559;37;596.0;44.0;140.0;757.0;978.0;11.0;56.0;76.0;151.0;813.0;788;1054.0
25;PB;2011;820.0;3913.0;847;68;915.0;108.0;65.0;1324.0;1474.0;18.0;117.0;140.0;83.0;1441.0;1379;1614.0
26;PE;2011;1538.0;1247.0;1810;116;1928.0;143.0;200.0;2790.0;3202.0;21.0;223.0;261.0;222.0;3013.0;2541;3471.0
22;PI;2011;147.0;3228.0;212;11;223.0;10.0;51.0;327.0;408.0;4.0;28.0;32.0;55.0;355.0;251;440.0
41;PR;2011;1410.0;2779.0;1668;118;1786.0;139.0;2440.0;599.0;3086.0;220.0;55.0;283.0;2660.0;654.0;2365;3376.0
33;RJ;2011;1818.0;3068.0;2264;145;2409.0;177.0;1319.0;2933.0;4403.0;127.0;223.0;366.0;1448.0;3161.0;3411;4781.0
15;PA;2011;1292.0;493.0;1679;79;1758.0;106.0;217.0;2629.0;2881.0;27.0;154.0;186.0;245.0;2787.0;2077;3073.0
